IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MELINA,KOBIETA,2
MYLANA,KOBIETA,2
NAVYA,KOBIETA,2
ATENA,KOBIETA,2
HEIDI,KOBIETA,2
ESMA,KOBIETA,2
CECILY,KOBIETA,2
ARIIANA,KOBIETA,2
JULIJA,KOBIETA,2
NIKOLETA,KOBIETA,2
JANIA,KOBIETA,2
VICTORIIA,KOBIETA,2
WIOLETA,KOBIETA,2
YEVANHELINA,KOBIETA,2
ROZANNA,KOBIETA,2
NEONILA,KOBIETA,2
SERAFINA,KOBIETA,2
HANIFA,KOBIETA,2
ELYA,KOBIETA,2
EMILLY,KOBIETA,2
MADLEN,KOBIETA,2
ORYNA,KOBIETA,2
ALIAKSANDRA,KOBIETA,2
MISZEL,KOBIETA,2
ASTERIA,KOBIETA,2
INAYA,KOBIETA,2
LÉA,KOBIETA,2
MAY,KOBIETA,2
REINA,KOBIETA,2
NAYLA,KOBIETA,2
TESS,KOBIETA,2
LETISJA,KOBIETA,2
SVITLANA,KOBIETA,2
ASIYA,KOBIETA,2
FELICYTA,KOBIETA,2
NADIYA,KOBIETA,2
MALVINA,KOBIETA,2
AGNES,KOBIETA,2
FREJA,KOBIETA,2
TONYA,KOBIETA,2
AMILIA,KOBIETA,2
CELINE,KOBIETA,2
MILLIE,KOBIETA,2
CHRISTINE,KOBIETA,2
LEILANI,KOBIETA,2
NENA,KOBIETA,2
ANH THƯ,KOBIETA,2
ATALIA,KOBIETA,2
ARIELLA,KOBIETA,2
HARLEEN,KOBIETA,2
AYRA,KOBIETA,2
ALONA,KOBIETA,2
VIOLA,KOBIETA,2
ADELAIDE,KOBIETA,2
ALIJA,KOBIETA,2
SORAYA,KOBIETA,2
CAROLINE,KOBIETA,2
JAGA,KOBIETA,2
SELINA,KOBIETA,2
LUANA,KOBIETA,2
ROSALINA,KOBIETA,2
NEFELI,KOBIETA,2
AILA,KOBIETA,2
KASSANDRA,KOBIETA,2
TEKLA,KOBIETA,2
ARYNA,KOBIETA,2
ZORYANA,KOBIETA,2
YASMEEN,KOBIETA,2
LILLIAN,KOBIETA,2
IGNACJA,KOBIETA,2
AZRA,KOBIETA,2
CHARLOTTA,KOBIETA,2
GIANNA,KOBIETA,2
LATIKA,KOBIETA,2
LARISSA,KOBIETA,2
